Started: 12-Nov-2012 10:17
1	1	4	1	22	8.044574e+000	5.735532e-001	1	8.658149e+000	
1	2	4	2	16	9.177681e+000	7.810979e-001	2	9.990702e+000	
1	3	4	1	5	1.051054e+001	6.079836e-001	1	1.115031e+001	
1	4	4	2	13	1.167021e+001	6.710999e-001	2	1.236325e+001	
1	5	4	1	1	1.288308e+001	6.327045e-001	1	1.354953e+001	
1	6	4	2	28	1.406935e+001	1.317214e+000	2	1.541548e+001	
1	7	4	1	27	1.593535e+001	5.550703e-001	1	1.652177e+001	
2	1	2	1	7	3.391578e+001	6.932976e-001	1	3.463545e+001	
2	2	2	1	14	3.515531e+001	8.822607e-001	1	3.606161e+001	
2	3	2	2	16	3.658148e+001	1.027885e+000	2	3.763440e+001	
2	4	2	1	6	3.815427e+001	1.843027e+000	2	4.002023e+001	
2	5	2	1	18	4.054014e+001	6.576467e-001	1	4.121981e+001	
2	6	2	2	26	4.173967e+001	6.587072e-001	2	4.241939e+001	
2	7	2	2	28	4.293927e+001	1.011592e+000	2	4.397884e+001	
3	1	1	1	49	6.130624e+001	1.171508e+000	1	6.250577e+001	
3	2	1	1	53	6.302557e+001	1.273345e+000	1	6.433174e+001	
3	3	1	1	48	6.485157e+001	9.736399e-001	1	6.585125e+001	
3	4	1	2	30	6.637114e+001	1.011467e+000	2	6.741064e+001	
3	5	1	1	29	6.793052e+001	1.004935e+000	1	6.895679e+001	
3	6	1	2	54	6.947670e+001	1.382690e+000	2	7.088946e+001	
3	7	1	2	36	7.140931e+001	1.650699e+000	2	7.308868e+001	
4	1	3	1	38	8.705714e+001	0	0	8.995723e+001	
4	2	3	2	35	9.046929e+001	0	0	9.336941e+001	
4	3	3	1	42	9.388150e+001	0	0	9.678173e+001	
4	4	3	1	51	9.729359e+001	0	0	1.001936e+002	
4	5	3	1	46	1.007057e+002	0	0	1.036058e+002	
4	6	3	2	40	1.041178e+002	0	0	1.070180e+002	
4	7	3	2	47	1.075300e+002	0	0	1.104302e+002	
5	1	4	1	8	1.133813e+002	0	0	1.162815e+002	
5	2	4	1	25	1.167934e+002	0	0	1.196936e+002	
5	3	4	2	4	1.202056e+002	0	0	1.231057e+002	
5	4	4	2	9	1.236177e+002	0	0	1.265179e+002	
5	5	4	1	3	1.270299e+002	0	0	1.299301e+002	
5	6	4	2	11	1.304420e+002	0	0	1.333420e+002	
5	7	4	1	17	1.338541e+002	0	0	1.367542e+002	
6	1	2	1	25	1.389723e+002	0	0	1.418726e+002	
6	2	2	2	11	1.423845e+002	0	0	1.452847e+002	
6	3	2	1	5	1.457966e+002	0	0	1.486969e+002	
6	4	2	1	10	1.492088e+002	9.334019e-001	1	1.501684e+002	
6	5	2	1	8	1.506884e+002	9.947707e-001	1	1.517146e+002	
6	6	2	2	9	1.522345e+002	7.422313e-001	2	1.530074e+002	
6	7	2	2	19	1.535273e+002	1.723650e+000	2	1.552733e+002	
7	1	1	1	37	1.643902e+002	8.266143e-001	1	1.652432e+002	
7	2	1	2	31	1.657630e+002	7.633306e-001	2	1.665494e+002	
7	3	1	1	35	1.670692e+002	1.477470e+000	1	1.685753e+002	
7	4	1	1	52	1.690952e+002	1.051488e+000	1	1.701748e+002	
7	5	1	1	39	1.706947e+002	1.229746e+000	1	1.719475e+002	
7	6	1	2	44	1.724673e+002	8.337586e-001	2	1.733337e+002	
7	7	1	2	50	1.738535e+002	9.707392e-001	2	1.748531e+002	
8	1	4	1	15	1.920071e+002	0	0	1.949073e+002	
8	2	4	1	12	1.954193e+002	0	0	1.983194e+002	
8	3	4	2	23	1.988314e+002	0	0	2.017316e+002	
8	4	4	2	24	2.022436e+002	0	0	2.051437e+002	
8	5	4	1	14	2.056557e+002	0	0	2.085558e+002	
8	6	4	1	18	2.090678e+002	0	0	2.119681e+002	
8	7	4	2	26	2.124800e+002	0	0	2.153801e+002	
9	1	3	1	54	2.190244e+002	0	0	2.219245e+002	
9	2	3	2	55	2.224365e+002	0	0	2.253368e+002	
9	3	3	1	34	2.258487e+002	0	0	2.287489e+002	
9	4	3	2	36	2.292608e+002	0	0	2.321608e+002	
9	5	3	2	43	2.326729e+002	0	0	2.355731e+002	
9	6	3	1	49	2.360851e+002	0	0	2.389852e+002	
9	7	3	1	50	2.394972e+002	0	0	2.423974e+002	
10	1	2	1	3	2.445488e+002	0	0	2.474488e+002	
10	2	2	1	20	2.479609e+002	0	0	2.508610e+002	
10	3	2	2	21	2.513731e+002	0	0	2.542733e+002	
10	4	2	1	17	2.547852e+002	0	0	2.576854e+002	
10	5	2	1	1	2.581974e+002	0	0	2.610975e+002	
10	6	2	2	13	2.616095e+002	0	0	2.645096e+002	
10	7	2	2	24	2.650216e+002	1.930848e+000	2	2.669809e+002	
11	1	1	1	51	2.699266e+002	0	0	2.728268e+002	
11	2	1	2	40	2.733387e+002	0	0	2.762389e+002	
11	3	1	2	32	2.767509e+002	0	0	2.796509e+002	
11	4	1	1	41	2.801630e+002	0	0	2.830632e+002	
11	5	1	2	34	2.835751e+002	0	0	2.864753e+002	
11	6	1	1	33	2.869873e+002	0	0	2.898874e+002	
11	7	1	1	42	2.903995e+002	0	0	2.932996e+002	
