

EXPERIMENT INFO for MSS, AP2_6178_WM_swmrun2_01_ct.txt_10-Aug-2012_09-05.mat

Subject Code = AP2_6178
Input File = swmrun2_01_ct.txt
Experiment notes: 

Trial	Order	Onset	Dur	RT	Response

1	1	0.01	8.00	0.000	
2	2	8.01	3.00	0.000	
3	3	11.03	4.00	0.000	
4	4	15.04	0.91	0.000	
5	5	15.97	1.50	0.000	
6	6	17.48	6.00	0.000	
7	7	23.50	1.19	0.000	
8	8	24.71	2.19	2.181	2
9	9	28.70	2.58	0.000	
10	10	31.31	4.00	0.000	
11	11	35.32	2.58	0.000	
12	12	37.91	1.50	0.000	
13	13	39.41	6.00	0.000	
14	14	45.43	2.18	0.000	
15	15	47.62	2.29	2.286	2
16	16	51.62	1.80	0.000	
17	17	53.44	4.00	0.000	
18	18	57.45	1.43	0.000	
19	19	58.89	1.50	0.000	
20	20	60.40	6.00	0.000	
21	21	66.42	1.27	0.000	
22	22	67.71	2.28	2.274	1
23	23	71.71	2.26	0.000	
24	24	73.98	4.00	0.000	
25	25	77.99	2.09	0.000	
26	26	80.10	1.50	0.000	
27	27	81.61	6.00	0.000	
28	28	87.63	3.17	0.000	
29	29	90.81	2.05	2.042	2
30	30	94.80	3.38	0.000	
31	31	98.20	4.00	0.000	
32	32	102.22	1.69	0.000	
33	33	103.92	1.50	0.000	
34	34	105.43	6.00	0.000	
35	35	111.45	4.18	0.000	
36	36	115.65	2.21	2.205	1
37	37	119.64	3.32	0.000	
38	38	122.99	4.00	0.000	
39	39	127.00	1.43	0.000	
40	40	128.44	1.50	0.000	
41	41	129.95	6.00	0.000	
42	42	135.97	1.00	0.000	
43	43	136.98	2.75	2.742	2
44	44	140.98	1.61	0.000	
45	45	142.60	4.00	0.000	
46	46	146.62	0.87	0.000	
47	47	147.51	1.50	0.000	
48	48	149.02	6.00	0.000	
49	49	155.04	4.64	0.000	
50	50	159.70	2.48	2.480	2
51	51	163.69	2.52	0.000	
52	52	166.23	4.00	0.000	
53	53	170.24	3.00	0.000	
54	54	173.26	1.50	0.000	
55	55	174.77	6.00	0.000	
56	56	180.78	3.81	0.000	
57	57	184.61	3.55	3.543	1
58	58	188.61	0.86	0.000	
59	59	189.49	4.00	0.000	
60	60	193.50	0.10	0.000	
61	61	193.62	1.50	0.000	
62	62	195.13	6.00	0.000	
63	63	201.14	2.47	0.000	
64	64	203.63	2.91	2.904	2
65	65	207.63	1.12	0.000	
66	66	208.75	3.00	0.000	
67	67	211.77	4.00	0.000	
68	68	215.78	0.06	0.000	
69	69	215.85	1.50	0.000	
70	70	217.36	6.00	0.000	
71	71	223.38	0.92	0.000	
72	72	224.31	1.57	1.568	2
73	73	228.30	1.81	0.000	
74	74	230.12	4.00	0.000	
75	75	234.14	0.71	0.000	
76	76	234.87	1.50	0.000	
77	77	236.37	6.00	0.000	
78	78	242.39	0.59	0.000	
79	79	243.01	3.08	3.076	2
80	80	247.00	0.44	0.000	
81	81	247.45	4.00	0.000	
82	82	251.46	0.71	0.000	
83	83	252.19	1.50	0.000	
84	84	253.70	6.00	0.000	
85	85	259.72	0.85	0.000	
86	86	260.58	1.25	1.247	1
87	87	264.58	4.05	0.000	
88	88	268.64	4.00	0.000	
89	89	272.65	1.09	0.000	
90	90	273.74	1.50	0.000	
91	91	275.25	6.00	0.000	
92	92	281.27	0.11	0.000	
93	93	281.40	1.61	1.604	2
94	94	285.38	0.01	0.004	1
95	95	286.29	4.00	0.000	
96	96	290.31	1.00	0.000	
97	97	291.32	1.50	0.000	
98	98	292.83	6.00	0.000	
99	99	298.85	1.90	0.000	
100	100	300.77	1.34	1.333	2
101	101	304.76	3.41	0.000	
102	102	308.20	4.00	0.000	
103	103	312.21	2.20	0.000	
104	104	314.41	1.50	0.000	
105	105	315.92	6.00	0.000	
106	106	321.94	0.44	0.000	
107	107	322.39	1.36	1.353	2
108	108	326.38	1.29	0.000	
109	109	327.69	4.00	0.000	
110	110	331.71	0.25	0.000	
111	111	331.97	1.50	0.000	
112	112	333.48	6.00	0.000	
113	113	339.50	0.30	0.000	
114	114	339.81	1.96	1.951	2
115	115	343.81	2.48	0.000	
116	116	346.29	4.00	0.000	
117	117	350.31	0.94	0.000	
118	118	351.27	1.50	0.000	
119	119	352.78	6.00	0.000	
120	120	358.80	4.19	0.000	
121	121	363.01	1.52	1.516	2
122	122	367.00	2.89	0.000	
123	123	369.90	4.00	0.000	
124	124	373.92	1.42	0.000	
125	125	375.34	1.50	0.000	
126	126	376.85	6.00	0.000	
127	127	382.87	0.81	0.000	
128	128	383.70	1.68	1.673	2
129	129	387.69	0.00	0.000	


All Keys Pressed:

Key	Time	Accompanying Stimulus
2	26.89	first?\n\nMedina
2	26.92	first?\n\nMedina, st was first?\n\nMedina
2	49.91	first?\n\nDominique
2	49.93	first?\n\nDominique, st was first?\n\nDominique
1	69.99	second?\n\nZahra
1	70.00	second?\n\nZahra, st was second?\n\nZahra
2	92.85	first?\n\nCassie
2	92.87	first?\n\nCassie, st was first?\n\nCassie
1	117.85	third?\n\nManizha
1	117.87	third?\n\nManizha, st was third?\n\nManizha
2	139.73	third?\n\nCassie
2	139.74	third?\n\nCassie, st was third?\n\nCassie
2	162.18	first?\n\nMedina
2	162.20	first?\n\nMedina, st was first?\n\nMedina
1	188.16	second?\n\nStar
1	188.18	second?\n\nStar, st was second?\n\nStar
2	206.54	third?\n\nDominique
2	206.55	third?\n\nDominique, st was third?\n\nDominique
2	225.87	second?\n\nDominique
2	225.90	second?\n\nDominique, st was second?\n\nDominique
2	246.08	third?\n\nHoma
2	246.11	third?\n\nSoriya, st was third?\n\nHoma
1	261.83	second?\n\nHoma
1	261.84	second?\n\nHoma, st was second?\n\nHoma
2	283.01	first?\n\nCassie
2	283.03	first?\n\nMedina, st was first?\n\nCassie
1	285.35	first?\n\nMedina, st was first?\n\nCassie
1	285.39	+
1	285.40	+, st was +
2	302.10	second?\n\nZahra
2	302.11	second?\n\nZahra, st was second?\n\nZahra
2	323.74	first?\n\nZahra
2	323.77	first?\n\nZahra, st was first?\n\nZahra
2	341.76	first?\n\nStar
2	341.79	first?\n\nStar, st was first?\n\nStar
2	364.52	first?\n\nZahra
2	364.53	first?\n\nZahra, st was first?\n\nZahra
2	385.37	third?\n\nHoma
2	385.39	third?\n\nHoma, st was third?\n\nHoma
